ID,intervention_eligibility_start,intervention_eligibility_end,subpopulation,P_RRH,P_TSH,P_PSH,P_NOTX
9360,7/3/2020,10/3/2020,1,0.112776215,0.839193058,0.926720693,0.009277059
9383,7/6/2020,4/19/2021,1,0.313258528,0.726319498,0.666927772,0.644780165
9395,7/8/2020,10/8/2020,1,0.04179771,0.480239956,0.148726839,0.083333062
9402,7/6/2020,10/6/2020,1,0.738399759,0.842103186,0.364553175,0.358754283
9402,12/2/2020,5/14/2021,1,0.657512388,0.744752323,0.865774916,0.637485024
9423,7/10/2020,10/10/2020,0,0.214635746,0.660325906,0.350285211,0.386053475
9439,7/12/2020,8/14/2020,1,0.41675344,0.913975267,0.189025759,0.334955871
9595,8/3/2020,11/3/2020,1,0.643841934,0.633665564,0.472621309,0.600357316
9411,7/10/2020,10/10/2020,1,0.661481327,0.365940585,0.392781175,0.015293534
9382,7/8/2020,7/15/2020,1,0.170477133,0.552844573,0.618929927,0.429463987
9356,6/28/2020,12/13/2020,0,0.881652236,0.196380577,0.436766292,0.308537712
9392,7/9/2020,10/9/2020,1,0.77800816,0.192072296,0.260922157,0.738852598
9531,7/31/2020,10/31/2020,1,0.133954208,0.725669624,0.412472212,0.601051148
9460,7/14/2020,10/14/2020,0,0.868916626,0.784936703,0.419034035,0.040471577
9406,7/10/2020,10/10/2020,1,0.748777878,0.972098364,0.902421856,0.14285833
9397,7/8/2020,3/20/2021,0,0.798585654,0.850971417,0.979616262,0.339314134
9312,6/24/2020,9/24/2020,1,0.543345231,0.543594327,0.623568839,0.527206558
9390,7/10/2020,1/18/2021,0,0.220837915,0.08979087,0.083184123,0.249036112
9386,7/9/2020,7/13/2020,1,0.918458647,0.488873245,0.732998718,0.269987396
9412,7/12/2020,12/31/2021,1,0.592084578,0.927936348,0.678685402,0.691102924
9388,7/10/2020,5/25/2021,1,0.346237909,0.7876182,0.826022867,0.715222879
9430,7/15/2020,12/2/2020,1,0.263778529,0.485094226,0.347451337,0.305764297
9387,7/7/2020,10/7/2020,0,0.913915477,0.455279361,0.058880094,0.673928366
9401,7/6/2020,10/6/2020,1,0.419735461,0.217985768,0.611821816,0.247689939
9352,7/1/2020,12/27/2020,1,0.540191516,0.177213381,0.124014618,0.062053927
9346,7/2/2020,12/30/2021,1,0.608442158,0.073623669,0.759529529,0.395038174
9755,8/27/2020,1/6/2021,0,0.826249828,0.892393188,0.794423318,0.495633293
9755,2/23/2021,3/24/2021,0,0.623563185,0.640176617,0.408626787,0.669738221
1889,9/8/2017,12/8/2017,1,0.176712162,0.143332317,0.943797506,0.72386816
9440,7/17/2020,1/2/2022,1,0.591257353,0.41412692,0.173779794,0.577449508
9400,7/11/2020,10/11/2020,1,0.489266167,0.049108924,0.94258585,0.569324339
9448,7/16/2020,10/16/2020,1,0.54790778,0.20937335,0.465489675,0.532536786
9437,7/12/2020,1/20/2021,1,0.69952062,0.730708124,0.762993641,0.526164624
9702,8/18/2020,11/18/2020,1,0.245811164,0.65112277,0.752820195,0.575498536
9461,7/15/2020,10/15/2020,1,0.186627146,0.478978297,0.981209919,0.730762109
9447,7/13/2020,10/13/2020,1,0.110583148,0.274780505,0.973277994,0.280285888
9447,7/3/2021,8/7/2021,1,0.274059253,0.652223125,0.040091125,0.062290832
9408,7/7/2020,9/29/2020,1,0.010250039,0.956449511,0.015971278,0.17973033
9693,8/19/2020,1/25/2022,1,0.629359723,0.435520556,0.543290315,0.16611207
9474,7/19/2020,10/19/2020,1,0.295172305,0.070132505,0.033877618,0.272699848
9429,7/14/2020,10/14/2020,1,0.187286545,0.057731488,0.657484636,0.607735674
9434,7/13/2020,7/13/2021,1,0.095288052,0.082871019,0.534902602,0.045072127
9425,7/10/2020,9/27/2021,1,0.283755807,0.959707187,0.666558396,0.337307668
9343,7/1/2020,5/20/2021,1,0.214924384,0.540760836,0.441340704,0.609877896
9404,7/12/2020,8/23/2020,1,0.285603734,0.837462433,0.272471459,0.198178781
9427,7/15/2020,10/15/2020,1,0.471409857,0.170033544,0.94966894,0.047550736
9407,7/7/2020,12/29/2020,0,0.549496821,0.260345073,0.72826944,0.181580754
9812,9/11/2020,11/22/2020,1,0.845113116,0.691977512,0.006323937,0.063802846
9424,7/11/2020,10/11/2020,1,0.988509701,0.895570328,0.099327765,0.605833077
9433,7/15/2020,10/15/2020,1,0.048868086,0.340688484,0.631692245,0.127687557
9670,8/15/2020,12/5/2020,1,0.232118251,0.064673198,0.288036827,0.146508469
9670,7/8/2021,9/29/2021,1,0.643311427,0.864119669,0.407621677,0.610981509
9431,7/12/2020,10/12/2020,1,0.161466563,0.290872446,0.781531124,0.607714147
9446,7/13/2020,10/13/2020,0,0.870145893,0.741082406,0.354145538,0.442030409
9652,8/16/2020,10/23/2020,1,0.217402426,0.158033655,0.925808597,0.686050755
9887,9/17/2020,12/17/2020,1,0.741755039,0.694963435,0.720452121,0.044866228
9466,7/15/2020,10/15/2020,1,0.653020513,0.841419619,0.551926441,0.72374748
9587,8/5/2020,12/10/2020,1,0.798885512,0.727152079,0.180964836,0.428231413
9473,7/21/2020,10/21/2020,1,0.031247562,0.359107525,0.40959139,0.226888584
9664,8/13/2020,11/13/2020,1,0.229574029,0.726689751,0.76288179,0.61927937
9456,7/15/2020,10/15/2020,1,0.704627499,0.139467124,0.990796819,0.49456296
9677,8/14/2020,11/14/2020,1,0.087562509,0.313819115,0.073652374,0.739876081
9507,7/27/2020,10/27/2020,1,0.030589483,0.419582757,0.134752607,0.08061715
10788,3/17/2021,5/16/2021,1,0.357134934,0.877212039,0.74004473,0.435688896
10585,1/29/2021,4/28/2021,1,0.589781991,0.153740209,0.83378137,0.354621116
9410,7/10/2020,10/10/2020,1,0.052222727,0.88012479,0.088772857,0.489203089
9467,7/16/2020,10/16/2020,1,0.065663666,0.798964319,0.82941795,0.181394291
9451,7/19/2020,9/24/2020,0,0.043501186,0.971624297,0.786732314,0.023347548
9471,7/19/2020,8/12/2020,1,0.395150758,0.367702983,0.688221273,0.408174265
9432,7/13/2020,8/2/2020,1,0.668427046,0.204939769,0.339926416,0.273532634
9444,7/15/2020,12/29/2021,1,0.198027112,0.24057032,0.444540665,0.669249956
9459,7/17/2020,10/17/2020,0,0.876266452,0.827862801,0.366336139,0.344509196
9445,7/18/2020,10/18/2020,1,0.432389095,0.965228149,0.840466065,0.313990575
10876,4/15/2021,7/15/2021,0,0.619641464,0.698809998,0.328322137,0.474679156
9530,7/29/2020,10/29/2020,1,0.290426743,0.482497042,0.322574976,0.395384125
9530,11/12/2020,2/12/2021,1,0.615254573,0.287049765,0.935290857,0.720908355
9476,7/18/2020,7/18/2020,0,0.953659962,0.833687884,0.919987348,0.591757586
11516,8/24/2021,11/24/2021,1,0.448014717,0.872179508,0.968674125,0.372521632
11687,10/2/2021,1/2/2022,1,0.207049838,0.092131592,0.807548953,0.158355751
9633,8/12/2020,4/27/2021,1,0.425367292,0.215949471,0.086915618,0.452988106
9494,7/22/2020,10/22/2020,1,0.444574265,0.83176109,0.090910552,0.561431858
9729,8/23/2020,11/23/2020,0,0.507617487,0.848303897,0.557082075,0.566897873
9806,9/10/2020,12/10/2020,1,0.52573325,0.314652999,0.856183771,0.745128006
10045,10/8/2020,10/8/2020,1,0.042429192,0.279294597,0.884197864,0.163873336
9625,8/9/2020,11/9/2020,1,0.164419086,0.430815022,0.636848673,0.319228
10053,10/15/2020,1/15/2021,1,0.45022718,0.5394465,0.955804594,0.317887202
10845,3/29/2021,4/16/2021,1,0.707971171,0.095566815,0.151885601,0.238984828
9548,7/26/2020,10/26/2020,1,0.777587908,0.836912139,0.22158093,0.273999764
9666,8/16/2020,12/25/2020,0,0.777102999,0.53473487,0.332495167,0.358455983
9541,7/29/2020,10/1/2021,1,0.502778753,0.774967815,0.256804921,0.406567807
9499,7/22/2020,12/26/2021,1,0.956747593,0.230836266,0.312205032,0.198922685
9465,7/20/2020,10/20/2020,0,0.331873713,0.965293351,0.118445516,0.100772796
9465,12/3/2020,3/3/2021,0,0.481458162,0.751027307,0.375340143,0.226414573
9495,7/23/2020,6/1/2021,1,0.748373999,0.343093864,0.029773997,0.10236007
9770,8/30/2020,11/30/2020,0,0.857839518,0.948527647,0.537781666,0.238275153
9449,7/17/2020,10/17/2020,0,0.414460055,0.700511779,0.945828295,0.509387011
9484,7/21/2020,10/21/2020,0,0.848684514,0.840561085,0.445125193,0.451005867
9964,9/30/2020,12/30/2020,1,0.444570942,0.045497306,0.624153244,0.7479191
9492,7/24/2020,10/24/2020,0,0.715747084,0.055641541,0.611812349,0.420685942
9502,7/26/2020,10/26/2020,1,0.008448364,0.742737274,0.933379168,0.411544648
9502,12/15/2020,3/15/2021,1,0.025201424,0.304686433,0.734519053,0.481762155
9470,7/23/2020,10/23/2020,1,0.940450494,0.516784366,0.824820928,0.545092028
9485,7/23/2020,10/23/2020,1,0.102137948,0.156262424,0.33584941,0.461860155
9688,8/22/2020,11/22/2020,0,0.66196779,0.97795241,0.907464646,0.441375049
9480,7/20/2020,10/20/2020,0,0.283258744,0.502751048,0.185209234,0.453753235
9498,7/26/2020,12/7/2020,1,0.200842344,0.829001078,0.407982269,0.266089096
11652,9/26/2021,11/30/2021,1,0.388334182,0.074037796,0.737451973,0.583036496
10151,10/26/2020,1/26/2021,0,0.925901597,0.478915452,0.333456382,0.453452486
9483,7/18/2020,12/26/2021,1,0.57027421,0.06227948,0.886134231,0.231923079
9567,8/1/2020,8/12/2020,1,0.916714612,0.884241431,0.860655862,0.184223249
9535,7/25/2020,9/11/2021,1,0.702264241,0.445810179,0.16511812,0.053449488
11563,9/7/2021,12/30/2021,1,0.501216452,0.068549918,0.230745942,0.260796876
9538,7/30/2020,10/30/2020,1,0.506086834,0.076496282,0.052434879,0.009636055
9488,7/23/2020,8/16/2020,1,0.218820786,0.538792658,0.858720848,0.12423137
10572,1/31/2021,5/1/2021,1,0.004663523,0.075566405,0.339224908,0.045274824
9511,7/23/2020,10/21/2020,0,0.417836244,0.183772318,0.393246728,0.20861695
9515,7/24/2020,10/24/2020,0,0.56337611,0.436357084,0.270365482,0.261248996
9513,7/24/2020,10/24/2020,1,0.876561868,0.497782831,0.123227889,0.443416734
9512,7/25/2020,10/27/2020,1,0.67758484,0.583311915,0.456939242,0.581259848
9497,7/24/2020,12/30/2021,1,0.842333046,0.620512681,0.234717053,0.46856585
9442,7/15/2020,6/11/2021,0,0.926161287,0.3728115,0.563153235,0.1197607
9493,7/20/2020,10/20/2020,1,0.941115874,0.618736583,0.202765048,0.67032199
9861,9/13/2020,12/13/2020,0,0.816019152,0.157244658,0.511387282,0.54794345
9573,8/6/2020,8/17/2020,1,0.131394605,0.275508475,0.948325884,0.373326014
9623,8/11/2020,8/11/2020,1,0.346630015,0.798718271,0.371833706,0.482730165
9580,8/5/2020,8/9/2021,1,0.208502495,0.153089301,0.954219089,0.382106321
9523,7/27/2020,10/27/2020,1,0.867381537,0.223322973,0.057205916,0.126156119
1611,8/8/2017,11/8/2017,0,0.792330219,0.24297818,0.548805118,0.481098579
9514,7/22/2020,9/13/2020,0,0.349001641,0.479507305,0.599797491,0.741125822
9546,7/29/2020,5/1/2021,0,0.569140532,0.000745522,0.961753318,0.577747022
9639,8/9/2020,11/9/2020,1,0.80513154,0.030311361,0.925185131,0.136110907
9591,8/8/2020,11/20/2020,1,0.833161245,0.461548152,0.51090613,0.089826766
9540,7/31/2020,10/31/2020,1,0.205793677,0.162520685,0.75948614,0.697756382
9540,12/15/2020,3/15/2021,1,0.730680201,0.679501804,0.975905282,0.682573075
9557,7/31/2020,8/1/2021,1,0.803414164,0.795204587,0.736500264,0.561888495
9527,7/24/2020,10/24/2020,1,0.043129036,0.578163359,0.953955974,0.570398655
9526,7/24/2020,1/7/2021,0,0.107187404,0.694764977,0.938893979,0.107156848
9772,9/3/2020,12/3/2020,1,0.43508365,0.390958016,0.481767161,0.608958144
9504,7/23/2020,12/29/2021,1,0.220881222,0.046296203,0.659894231,0.144209472
9539,7/31/2020,10/31/2020,0,0.880622066,0.439421533,0.179849633,0.116058832
9505,7/26/2020,8/22/2020,1,0.719687538,0.371980312,0.437023472,0.305309217
9505,10/19/2020,2/18/2021,1,0.713007294,0.597003242,0.866124189,0.000287171
9536,7/29/2020,5/4/2021,1,0.769859657,0.13421817,0.57723207,0.634138362
9521,7/29/2020,4/7/2021,1,0.330747026,0.227712897,0.279453604,0.12084934
9520,7/24/2020,10/24/2020,1,0.228610252,0.814782417,0.122789253,0.554438051
9519,7/27/2020,12/29/2021,1,0.626343959,0.264325527,0.231855202,0.437183112
10024,10/7/2020,11/9/2020,1,0.41447925,0.410320205,0.124992565,0.577695002
9561,7/27/2020,12/26/2021,1,0.936781072,0.935972176,0.23378043,0.449994875
9831,9/13/2020,12/13/2020,1,0.642452419,0.275552463,0.38358001,0.721100614
9559,7/31/2020,10/31/2020,1,0.386900343,0.145289959,0.042898531,0.284833792
9537,7/29/2020,10/29/2020,0,0.855119661,0.702020129,0.838710697,0.372757763
11565,9/6/2021,12/6/2021,1,0.380792584,0.56706655,0.403810262,0.253753987
9558,7/30/2020,10/30/2020,1,0.178309828,0.611593836,0.567368964,0.557063056
9544,7/26/2020,1/30/2021,0,0.781659426,0.042030851,0.636134015,0.225371902
9534,7/30/2020,10/30/2020,1,0.472208587,0.417266895,0.132842006,0.599089706
9642,8/10/2020,5/23/2021,1,0.259480404,0.004266434,0.082707612,0.064462334
9443,7/14/2020,1/21/2021,1,0.692399246,0.246535469,0.156532213,0.176747728
9518,7/30/2020,2/1/2021,0,0.980485079,0.706056184,0.986224723,0.328626669
9543,7/28/2020,10/28/2020,1,0.246253589,0.061540716,0.104515242,0.09453439
9549,7/30/2020,9/15/2020,0,0.790243803,0.294693499,0.422655921,0.152273986
9570,8/2/2020,11/2/2020,0,0.762335244,0.988112753,0.875062347,0.631157056
9577,8/4/2020,11/4/2020,1,0.120039792,0.97122223,0.584275653,0.279324341
9556,7/29/2020,10/29/2020,1,0.838902595,0.481846389,0.017533671,0.164011297
9550,8/2/2020,11/2/2020,1,0.461738905,0.735693387,0.888702581,0.634599617
9555,7/29/2020,10/29/2020,1,0.125781383,0.632655774,0.384147663,0.431530999
9552,7/27/2020,12/26/2021,1,0.536343473,0.465693071,0.167730208,0.475287358
9621,8/7/2020,8/14/2020,1,0.296512751,0.857066433,0.337179831,0.666696408
9616,8/9/2020,11/26/2020,0,0.175724193,0.172518252,0.594148132,0.535469294
9554,8/2/2020,2/2/2021,1,0.079238171,0.828431922,0.03774518,0.198834501
9554,10/31/2021,1/31/2022,1,0.198899092,0.042069523,0.643308521,0.007281231
9562,7/30/2020,8/21/2020,0,0.429588619,0.866953692,0.6101064,0.412097595
9582,8/7/2020,4/4/2021,1,0.641811764,0.675996587,0.228793922,0.530644669
9551,7/29/2020,8/19/2020,1,0.087379179,0.44591411,0.42601776,0.604270957
9572,8/3/2020,2/13/2021,1,0.715730588,0.671570248,0.193514963,0.142992251
9762,8/29/2020,11/28/2020,0,0.101744811,0.460368504,0.02132984,0.475660707
9761,8/28/2020,9/27/2020,0,0.175599071,0.780003222,0.583919874,0.703914701
9593,8/5/2020,11/5/2020,1,0.713321562,0.113444084,0.445357045,0.193639788
10916,4/21/2021,7/21/2021,1,0.885263674,0.508157429,0.842056648,0.219360345
9618,8/7/2020,11/7/2020,1,0.983138361,0.87148954,0.199055654,0.319233009
9596,8/5/2020,3/3/2021,1,0.652906951,0.927529276,0.440599047,0.428383951
9583,8/2/2020,10/24/2020,1,0.477736353,0.220336332,0.667454533,0.742541665
9583,1/10/2021,1/22/2021,1,0.087787555,0.251930303,0.06833463,0.44114971
9583,6/18/2021,9/18/2021,1,0.558950795,0.904012472,0.355336629,0.665924548
10399,12/19/2020,3/14/2021,1,0.181150229,0.345517339,0.686036303,0.492158459
9576,8/5/2020,11/5/2020,0,0.51440206,0.056872574,0.245071897,0.354584156
9579,8/4/2020,10/23/2020,1,0.608930149,0.714886672,0.363977322,0.229161397
9608,8/3/2020,11/3/2020,1,0.83321249,0.414418859,0.577363699,0.262634684
9619,8/5/2020,2/11/2021,1,0.323750582,0.735324187,0.409435592,0.582850719
9592,8/4/2020,11/4/2020,1,0.988862093,0.477091633,0.876781503,0.133131785
9586,8/2/2020,9/28/2021,0,0.99495026,0.500565554,0.859881278,0.103451519
9614,8/9/2020,10/10/2020,0,0.826150819,0.41756191,0.833976893,0.159783723
9610,8/8/2020,11/8/2020,0,0.694152545,0.290484896,0.426271167,0.50168508
9574,7/31/2020,2/23/2021,1,0.733669798,0.900710867,0.190129996,0.27855371
9584,8/1/2020,11/1/2020,1,0.87526881,0.668787578,0.638863103,0.154877009
9569,8/3/2020,11/3/2020,1,0.951510148,0.788832343,0.428154981,0.248028302
9564,7/31/2020,1/12/2021,1,0.852262927,0.895739531,0.505807071,0.061222172
9613,8/6/2020,12/30/2021,1,0.64093864,0.250188942,0.651051558,0.327401665
9644,8/15/2020,11/15/2020,0,0.073498385,0.919820614,0.939941535,0.608411987
9603,8/8/2020,11/8/2020,1,0.623384714,0.862605087,0.808249727,0.334344346
9990,10/2/2020,2/22/2021,1,0.353213892,0.506085262,0.123216633,0.335482615
9585,8/5/2020,11/5/2020,1,0.164778623,0.567902174,0.907462209,0.020646348
9315,6/25/2020,9/27/2021,1,0.893166187,0.114932238,0.677067333,0.209233254
10009,10/3/2020,1/2/2021,1,0.824890481,0.762115841,0.319425195,0.056377875
10212,11/7/2020,12/3/2020,0,0.526638424,0.173225007,0.729992989,0.035803783
9665,8/12/2020,11/12/2020,1,0.463449256,0.533836041,0.474963919,0.647689185
9617,8/8/2020,11/8/2020,1,0.489301288,0.126437305,0.561032564,0.535738193
9599,8/3/2020,11/3/2020,1,0.26072002,0.072917094,0.571824694,0.622828275
9607,8/9/2020,7/23/2021,1,0.402637923,0.609027444,0.151489249,0.099679347
9604,8/7/2020,8/27/2020,1,0.43666988,0.49120313,0.361982118,0.273964845
9602,8/3/2020,11/3/2020,1,0.015056134,0.674809935,0.435734741,0.684913157
9602,8/22/2021,11/22/2021,1,0.892905883,0.790854183,0.057725099,0.325040918
9609,8/8/2020,12/31/2021,1,0.029149318,0.982687493,0.723732511,0.69423886
9545,7/28/2020,9/28/2020,1,0.372892884,0.084080681,0.326804769,0.721026057
9563,7/31/2020,10/31/2020,0,0.095873315,0.631212112,0.476852866,0.004956081
9622,8/10/2020,11/10/2020,1,0.19696432,0.576974895,0.948057805,0.324697939
9462,7/19/2020,11/14/2020,0,0.942420612,0.650642177,0.867968329,0.437334472
9637,8/13/2020,11/13/2020,1,0.371271172,0.543179455,0.273096177,0.261620679
9571,7/30/2020,10/30/2020,1,0.729000802,0.557367388,0.400271703,0.282024013
9695,8/17/2020,11/17/2020,1,0.126160109,0.868554634,0.571234204,0.266866182
9605,8/8/2020,11/8/2020,1,0.251282922,0.452011616,0.119481918,0.173274656
9606,8/3/2020,11/3/2020,1,0.881235297,0.534975579,0.796184379,0.019527933
9500,7/20/2020,5/15/2021,0,0.90329615,0.690963704,0.32375196,0.548388
9653,8/13/2020,8/17/2020,1,0.287635258,0.089494991,0.115628654,0.748886825
9468,7/22/2020,10/22/2020,0,0.967113132,0.431925319,0.707199849,0.028756448
9630,8/8/2020,11/8/2020,1,0.668099336,0.102134221,0.514908238,0.644323663
9629,8/12/2020,11/12/2020,0,0.503006774,0.137809893,0.027100401,0.408228698
9627,8/7/2020,11/7/2020,0,0.378002409,0.002125558,0.562783613,0.014639969
9655,8/16/2020,2/27/2021,1,0.337368294,0.209706436,0.764208844,0.051612306
9638,8/13/2020,11/13/2020,1,0.952010705,0.216637262,0.031042668,0.394087111
9706,8/18/2020,11/18/2020,1,0.693333829,0.516244481,0.657587621,0.078420155
9597,8/6/2020,12/28/2021,1,0.5341017,0.570208238,0.250141911,0.221998071
9662,8/14/2020,11/14/2020,1,0.043489698,0.823961181,0.435276308,0.206125803
9696,8/23/2020,9/21/2020,1,0.247550876,0.486711189,0.07216742,0.727954281
9671,8/17/2020,2/7/2021,0,0.943170723,0.891454599,0.532228523,0.352249864
